Property,X,Y,Z,Value
Permeability,1,14,2,0.70273423
Permeability,1,15,0,0.3648174
Permeability,1,15,1,0.790789
Permeability,1,15,2,0.2550374
Permeability,1,16,0,0.40238705
Permeability,1,16,1,0.74042183
Permeability,1,16,2,0.27278933
Permeability,1,17,0,0.14601347
Permeability,1,17,1,0.6900576
Permeability,1,17,2,0.2731835
Permeability,1,18,0,0.18458782
Permeability,1,18,1,0.63410014
Permeability,1,18,2,0.256217
Permeability,1,19,0,0.21602629
Permeability,1,19,1,0.57255244
Permeability,1,19,2,0.21536167
Permeability,1,20,0,0.2397713
Permeability,1,20,1,0.51100475
Permeability,1,20,2,0.16175199
Permeability,1,21,0,0.2246692
Permeability,1,21,1,0.5376413
Permeability,1,21,2,0.57598484
Permeability,1,22,0,0.30664745
Permeability,1,22,1,0.58191466
Permeability,1,22,2,0.49343404
Permeability,1,23,0,0.60976535
Permeability,1,23,1,0.626165
Permeability,1,23,2,0.49218825
Permeability,1,24,0,0.57317966
Permeability,1,24,1,0.67030317
Permeability,1,24,2,0.50720406
Permeability,1,25,0,0.54073995
Permeability,1,25,1,0.73397994
Permeability,1,25,2,0.49734122
Permeability,1,26,0,0.5130504
Permeability,1,26,1,0.75519305
Permeability,1,26,2,0.36310264
Permeability,1,27,0,0.4996055
Permeability,1,27,1,0.78478444
Permeability,1,27,2,0.22886407
Permeability,1,28,0,0.49935234
Permeability,1,28,1,0.8160503
Permeability,1,28,2,0.24003024
Permeability,1,29,0,0.56503737
Permeability,1,29,1,0.83423376
Permeability,1,29,2,0.3965954
Permeability,1,30,0,0.6307224
Permeability,1,30,1,0.78700846
Permeability,1,30,2,0.55316055
Permeability,1,31,0,0.6855002
Permeability,1,31,1,0.7397831
Permeability,1,31,2,0.13709033
Permeability,1,32,0,0.7293679
Permeability,1,32,1,0.7057092
Permeability,1,32,2,0.1557287
Permeability,1,33,0,0.7732385
Permeability,1,33,1,0.68478954
Permeability,1,33,2,0.1862508
Permeability,1,34,0,0.68657047
Permeability,1,34,1,0.5036393
Permeability,1,34,2,0.22146696
Permeability,1,35,0,0.57379246
Permeability,1,35,1,0.4661329
Permeability,1,35,2,0.28014615
Permeability,1,36,0,0.49568397
Permeability,1,36,1,0.47133765
Permeability,1,36,2,0.33882824
Permeability,1,37,0,0.5909201
Permeability,1,37,1,0.48508748
Permeability,1,37,2,0.3869282
Permeability,1,38,0,0.68615615
Permeability,1,38,1,0.49669674
Permeability,1,38,2,0.4244432
Permeability,1,39,0,0.72558445
Permeability,1,39,1,0.49761453
Permeability,1,39,2,0.46195817
Permeability,2,0,0,0.23547861
Permeability,2,0,1,0.3984425
Permeability,2,0,2,0.6660479
Permeability,2,1,0,0.25598398
Permeability,2,1,1,0.8773678
Permeability,2,1,2,0.49398646
Permeability,2,2,0,0.29707524
Permeability,2,2,1,0.76421577
Permeability,2,2,2,0.32192507
Permeability,2,3,0,0.3381636
Permeability,2,3,1,0.5841444
Permeability,2,3,2,0.2847841
Permeability,2,4,0,0.31196442
Permeability,2,4,1,0.40407595
Permeability,2,4,2,0.38256073
Permeability,2,5,0,0.27230597
Permeability,2,5,1,0.3290287
Permeability,2,5,2,0.4803402
Permeability,2,6,0,0.23343584
Permeability,2,6,1,0.27498746
Permeability,2,6,2,0.55855805
Permeability,2,7,0,0.1985166
Permeability,2,7,1,0.23406306
Permeability,2,7,2,0.632863
Permeability,2,8,0,0.16359796
Permeability,2,8,1,0.25871438
Permeability,2,8,2,0.70927685
Permeability,2,9,0,0.9029743
Permeability,2,9,1,0.28336567
Permeability,2,9,2,0.7962153
Permeability,2,10,0,0.90073305
Permeability,2,10,1,0.3068086
Permeability,2,10,2,0.67119795
Permeability,2,11,0,0.8999476
Permeability,2,11,1,0.3290431
Permeability,2,11,2,0.7523303
Permeability,2,12,0,0.9006151
Permeability,2,12,1,0.35127762
Permeability,2,12,2,0.82301867
Permeability,2,13,0,0.30812055
Permeability,2,13,1,0.36351982
Permeability,2,13,2,0.84147555
Permeability,2,14,0,0.3184955
Permeability,2,14,1,0.37376532
Permeability,2,14,2,0.8599295
Permeability,2,15,0,0.26685378
Permeability,2,15,1,0.7118461
Permeability,2,15,2,0.23555917
Permeability,2,16,0,0.35212925
Permeability,2,16,1,0.6356308
Permeability,2,16,2,0.23547861
Permeability,2,17,0,0.19713329
Permeability,2,17,1,0.5594154
Permeability,2,17,2,0.25598398
Permeability,2,18,0,0.25637814
Permeability,2,18,1,0.5258508
Permeability,2,18,2,0.29707524
Permeability,2,19,0,0.3158658
Permeability,2,19,1,0.5349425
Permeability,2,19,2,0.17818129
Permeability,2,20,0,0.33963096
Permeability,2,20,1,0.54403424
Permeability,2,20,2,0.17121403
Permeability,2,21,0,0.21295926
Permeability,2,21,1,0.5852982
Permeability,2,21,2,0.5750699
Permeability,2,22,0,0.23148802
Permeability,2,22,1,0.6329982
Permeability,2,22,2,0.5844206
Permeability,2,23,0,0.5139826
Permeability,2,23,1,0.67323786
Permeability,2,23,2,0.59576803
Permeability,2,24,0,0.5154269
Permeability,2,24,1,0.67616963
Permeability,2,24,2,0.6075154
Permeability,2,25,0,0.59348935
Permeability,2,25,1,0.67309684
Permeability,2,25,2,0.62327635
Permeability,2,26,0,0.58655256
Permeability,2,26,1,0.64160657
Permeability,2,26,2,0.6591082
Permeability,2,27,0,0.5891334
Permeability,2,27,1,0.72860545
Permeability,2,27,2,0.69494295
Permeability,2,28,0,0.58929735
Permeability,2,28,1,0.8393004
Permeability,2,28,2,0.6625694
Permeability,2,29,0,0.577386
Permeability,2,29,1,0.928063
Permeability,2,29,2,0.56199336
Permeability,2,30,0,0.5654718
Permeability,2,30,1,0.90715194
Permeability,2,30,2,0.4614144
Permeability,2,31,0,0.549052
Permeability,2,31,1,0.8862409
Permeability,2,31,2,0.2399727
Permeability,2,32,0,0.5281266
Permeability,2,32,1,0.54454064
Permeability,2,32,2,0.24679726
Permeability,2,33,0,0.50720406
Permeability,2,33,1,0.7231648
Permeability,2,33,2,0.25496835
Permeability,2,34,0,0.48501843
Permeability,2,34,1,0.5725496
Permeability,2,34,2,0.26987478
Permeability,2,35,0,0.46257964
Permeability,2,35,1,0.594951
Permeability,2,35,2,0.31844947
Permeability,2,36,0,0.44552398
Permeability,2,36,1,0.6046958
Permeability,2,36,2,0.36702418
Permeability,2,37,0,0.45536092
Permeability,2,37,1,0.61190593
Permeability,2,37,2,0.40608418
Permeability,2,38,0,0.46519783
Permeability,2,38,1,0.6245797
Permeability,2,38,2,0.4356295
Permeability,2,39,0,0.4951431
Permeability,2,39,1,0.6645575
Permeability,2,39,2,0.46517482
Permeability,3,0,0,0.22199923
Permeability,3,0,1,0.25809866
Permeability,3,0,2,0.8926943
Permeability,3,1,0,0.25195885
Permeability,3,1,1,0.9069994
Permeability,3,1,2,0.7827618
Permeability,3,2,0,0.312419
Permeability,3,2,1,0.86845446
Permeability,3,2,2,0.6728293
Permeability,3,3,0,0.37287915
Permeability,3,3,1,0.82162327
Permeability,3,3,2,0.6105824
Permeability,3,4,0,0.3379737
Permeability,3,4,1,0.7747893
Permeability,3,4,2,0.5960184
Permeability,3,5,0,0.28399864
Permeability,3,5,1,0.6451138
Permeability,3,5,2,0.5814543
Permeability,3,6,0,0.23132403
Permeability,3,6,1,0.3184955
Permeability,3,6,2,0.59714335
Permeability,3,7,0,0.1851664
Permeability,3,7,1,0.37926638
Permeability,3,7,2,0.6188801
Permeability,3,8,0,0.1390085
Permeability,3,8,1,0.3928407
Permeability,3,8,2,0.6418281
Permeability,3,9,0,0.9400894
Permeability,3,9,1,0.40641505
Permeability,3,9,2,0.59774464
Permeability,3,10,0,0.9365246
Permeability,3,10,1,0.4053016
Permeability,3,10,2,0.66269886
Permeability,3,11,0,0.93938446
Permeability,3,11,1,0.38950324
Permeability,3,11,2,0.7359019
Permeability,3,12,0,0.94866616
Permeability,3,12,1,0.37370202
Permeability,3,12,2,0.8017164
Permeability,3,13,0,0.3083421
Permeability,3,13,1,0.36960208
Permeability,3,13,2,0.83059704
Permeability,3,14,0,0.34048834
Permeability,3,14,1,0.36784416
Permeability,3,14,2,0.85947776
Permeability,3,15,0,0.57359684
Permeability,3,15,1,0.5555687
Permeability,3,15,2,0.22254013
Permeability,3,16,0,0.6295111
Permeability,3,16,1,0.52587664
Permeability,3,16,2,0.22199923
Permeability,3,17,0,0.2199392
Permeability,3,17,1,0.49618173
Permeability,3,17,2,0.25195885
Permeability,3,18,0,0.22780241
Permeability,3,18,1,0.47857365
Permeability,3,18,2,0.312419
Permeability,3,19,0,0.25693917
Permeability,3,19,1,0.47304955
Permeability,3,19,2,0.41995487
Permeability,3,20,0,0.26018745
Permeability,3,20,1,0.46752545
Permeability,3,20,2,0.5018583
Permeability,3,21,0,0.27978078
Permeability,3,21,1,0.52520055
Permeability,3,21,2,0.5660156
Permeability,3,22,0,0.14667234
Permeability,3,22,1,0.59551775
Permeability,3,22,2,0.579026
Permeability,3,23,0,0.51546717
Permeability,3,23,1,0.69054383
Permeability,3,23,2,0.5986682
Permeability,3,24,0,0.50086284
Permeability,3,24,1,0.69234776
Permeability,3,24,2,0.61963964
Permeability,3,25,0,0.6213084
Permeability,3,25,1,0.68288773
Permeability,3,25,2,0.6477349
Permeability,3,26,0,0.61716247
Permeability,3,26,1,0.6734306
Permeability,3,26,2,0.7114606
Permeability,3,27,0,0.62913996
Permeability,3,27,1,0.73580694
Permeability,3,27,2,0.77518344
Permeability,3,28,0,0.6335161
Permeability,3,28,1,0.8125517
Permeability,3,28,2,0.7997081
Permeability,3,29,0,0.59989387
Permeability,3,29,1,0.8794019
Permeability,3,29,2,0.785029
Permeability,3,30,0,0.5662745
Permeability,3,30,1,0.89679426
Permeability,3,30,2,0.7703498
Permeability,3,31,0,0.55956215
Permeability,3,31,1,0.9141894
Permeability,3,31,2,0.24823871
Permeability,3,32,0,0.5797625
Permeability,3,32,1,0.50616825
Permeability,3,32,2,0.27165285
Permeability,3,33,0,0.5999629
Permeability,3,33,1,0.55450416
Permeability,3,33,2,0.30889162
Permeability,3,34,0,0.58667344
Permeability,3,34,1,0.60823756
Permeability,3,34,2,0.351971
Permeability,3,35,0,0.566686
Permeability,3,35,1,0.661971
Permeability,3,35,2,0.42426768
Permeability,3,36,0,0.5493023
Permeability,3,36,1,0.68527
Permeability,3,36,2,0.4965644
Permeability,3,37,0,0.54495496
Permeability,3,37,1,0.7024868
Permeability,3,37,2,0.5320711
Permeability,3,38,0,0.5406047
Permeability,3,38,1,0.7188088
Permeability,3,38,2,0.530785
Permeability,3,39,0,0.55029494
Permeability,3,39,1,0.7306626
Permeability,3,39,2,0.52949893
Permeability,4,0,0,0.27361217
Permeability,4,0,1,0.8773678
Permeability,4,0,2,0.790789
Permeability,4,1,0,0.32830656
Permeability,4,1,1,0.95961076
Permeability,4,1,2,0.74042183
Permeability,4,2,0,0.7908063
Permeability,4,2,1,0.9713466
Permeability,4,2,2,0.6900576
Permeability,4,3,0,0.34321588
Permeability,4,3,1,0.97061867
Permeability,4,3,2,0.63410014
Permeability,4,4,0,0.35935947
Permeability,4,4,1,0.9698908
Permeability,4,4,2,0.57255244
Permeability,4,5,0,0.3727497
Permeability,4,5,1,0.82507586
Permeability,4,5,2,0.51100475
Permeability,4,6,0,0.3671709
Permeability,4,6,1,0.34048834
Permeability,4,6,2,0.5376413
Permeability,4,7,0,0.26674733
Permeability,4,7,1,0.500929
Permeability,4,7,2,0.58191466
Permeability,4,8,0,0.16632433
Permeability,4,8,1,0.4659718
Permeability,4,8,2,0.626165
Permeability,4,9,0,0.8755063
Permeability,4,9,1,0.43101746
Permeability,4,9,2,0.63180417
Permeability,4,10,0,0.87055475
Permeability,4,10,1,0.41327414
Permeability,4,10,2,0.6445873
Permeability,4,11,0,0.8849606
Permeability,4,11,1,0.41274762
Permeability,4,11,2,0.6502265
Permeability,4,12,0,0.9187209
Permeability,4,12,1,0.4122211
Permeability,4,12,2,0.6535697
