Model_ID,X,Y,Z,Permeability,Source_Q,Source_Qw,Porosity,Time_Index,Pini,Sini
0,0,0,0,0.38568816,0.0,0.0,0.19284408,0.016666668,1.0,0.2
0,0,0,1,0.22587474,0.0,0.0,0.11293737,0.016666668,1.0,0.2
0,0,0,2,0.57359684,0.0,0.0,0.28679842,0.016666668,1.0,0.2
0,0,1,0,0.37399834,0.0,0.0,0.18699917,0.016666668,1.0,0.2
0,0,1,1,0.3984425,0.0,0.0,0.19922125,0.016666668,1.0,0.2
0,0,1,2,0.6295111,0.0,0.0,0.31475556,0.016666668,1.0,0.2
0,0,2,0,0.33120957,0.0,0.0,0.16560479,0.016666668,1.0,0.2
0,0,2,1,0.43944746,0.0,0.0,0.21972373,0.016666668,1.0,0.2
0,0,2,2,0.68542826,0.0,0.0,0.34271413,0.016666668,1.0,0.2
0,0,3,0,0.2884237,0.0,0.0,0.14421184,0.016666668,1.0,0.2
0,0,3,1,0.60069084,0.0,0.0,0.30034542,0.016666668,1.0,0.2
0,0,3,2,0.66656286,0.0,0.0,0.33328143,0.016666668,1.0,0.2
0,0,4,0,0.26730263,0.0,0.0,0.13365132,0.016666668,1.0,0.2
0,0,4,1,0.7619371,0.0,0.0,0.38096854,0.016666668,1.0,0.2
0,0,4,2,0.57291496,0.0,0.0,0.28645748,0.016666668,1.0,0.2
0,0,5,0,0.2505174,0.0,0.0,0.1252587,0.016666668,1.0,0.2
0,0,5,1,0.664195,0.0,0.0,0.3320975,0.016666668,1.0,0.2
0,0,5,2,0.47926703,0.0,0.0,0.23963352,0.016666668,1.0,0.2
0,0,6,0,0.2471569,0.0,0.0,0.12357845,0.016666668,1.0,0.2
0,0,6,1,0.5146587,0.0,0.0,0.25732934,0.016666668,1.0,0.2
0,0,6,2,0.49755988,0.0,0.0,0.24877994,0.016666668,1.0,0.2
0,0,7,0,0.3109229,0.0,0.0,0.15546145,0.016666668,1.0,0.2
0,0,7,1,0.40579647,0.0,0.0,0.20289823,0.016666668,1.0,0.2
0,0,7,2,0.5382426,0.0,0.0,0.2691213,0.016666668,1.0,0.2
0,0,8,0,0.37469175,0.0,0.0,0.18734588,0.016666668,1.0,0.2
0,0,8,1,0.50030756,0.0,0.0,0.25015378,0.016666668,1.0,0.2
0,0,8,2,0.58199805,0.0,0.0,0.29099903,0.016666668,1.0,0.2
0,0,9,0,0.28398713,0.0,0.0,0.14199357,0.016666668,1.0,0.2
0,0,9,1,0.5948186,0.0,0.0,0.2974093,0.016666668,1.0,0.2
0,0,9,2,0.6411089,0.0,0.0,0.32055444,0.016666668,1.0,0.2
0,0,10,0,0.27361217,0.0,0.0,0.13680609,0.016666668,1.0,0.2
0,0,10,1,0.582352,0.0,0.0,0.291176,0.016666668,1.0,0.2
0,0,10,2,0.68527,0.0,0.0,0.342635,0.016666668,1.0,0.2
0,0,11,0,0.28338292,0.0,0.0,0.14169146,0.016666668,1.0,0.2
0,0,11,1,0.46290475,0.0,0.0,0.23145238,0.016666668,1.0,0.2
0,0,11,2,0.7024868,0.0,0.0,0.3512434,0.016666668,1.0,0.2
0,0,12,0,0.31329942,0.0,0.0,0.15664971,0.016666668,1.0,0.2
0,0,12,1,0.34345755,0.0,0.0,0.17172877,0.016666668,1.0,0.2
0,0,12,2,0.7188088,0.0,0.0,0.3594044,0.016666668,1.0,0.2
0,0,13,0,0.61152613,0.0,0.0,0.30576307,0.016666668,1.0,0.2
0,0,13,1,0.33475998,0.0,0.0,0.16737999,0.016666668,1.0,0.2
0,0,13,2,0.7306626,0.0,0.0,0.3653313,0.016666668,1.0,0.2
0,0,14,0,0.625463,0.0,0.0,0.3127315,0.016666668,1.0,0.2
0,0,14,1,0.34821057,0.0,0.0,0.17410529,0.016666668,1.0,0.2
0,0,14,2,0.74251926,0.0,0.0,0.37125963,0.016666668,1.0,0.2
0,0,15,0,0.86934924,0.0,0.0,0.43467462,0.016666668,1.0,0.2
0,0,15,1,0.8926943,0.0,0.0,0.44634715,0.016666668,1.0,0.2
0,0,15,2,0.36628476,0.0,0.0,0.18314238,0.016666668,1.0,0.2
0,0,16,0,0.8172903,0.0,0.0,0.40864515,0.016666668,1.0,0.2
0,0,16,1,0.7827618,0.0,0.0,0.3913809,0.016666668,1.0,0.2
0,0,16,2,0.38568816,0.0,0.0,0.19284408,0.016666668,1.0,0.2
0,0,17,0,0.25693917,0.0,0.0,0.12846959,0.016666668,1.0,0.2
0,0,17,1,0.6728293,0.0,0.0,0.33641464,0.016666668,1.0,0.2
0,0,17,2,0.37399834,0.0,0.0,0.18699917,0.016666668,1.0,0.2
0,0,18,0,0.26018745,0.0,0.0,0.13009372,0.016666668,1.0,0.2
0,0,18,1,0.6105824,0.0,0.0,0.3052912,0.016666668,1.0,0.2
0,0,18,2,0.33120957,0.0,0.0,0.16560479,0.016666668,1.0,0.2
0,0,19,0,0.21544799,0.0,0.0,0.107723996,0.016666668,1.0,0.2
0,0,19,1,0.5960184,0.0,0.0,0.2980092,0.016666668,1.0,0.2
0,0,19,2,0.13075112,0.0,0.0,0.06537556,0.016666668,1.0,0.2
0,0,20,0,0.21864736,0.0,0.0,0.10932368,0.016666668,1.0,0.2
0,0,20,1,0.5814543,0.0,0.0,0.29072714,0.016666668,1.0,0.2
0,0,20,2,0.13075371,0.0,0.0,0.065376855,0.016666668,1.0,0.2
0,0,21,0,0.46504247,0.0,0.0,0.23252124,0.016666668,1.0,0.2
0,0,21,1,0.59714335,0.0,0.0,0.29857168,0.016666668,1.0,0.2
0,0,21,2,0.48187083,0.0,0.0,0.24093542,0.016666668,1.0,0.2
0,0,22,0,0.435805,0.0,0.0,0.2179025,0.016666668,1.0,0.2
0,0,22,1,0.6188801,0.0,0.0,0.30944005,0.016666668,1.0,0.2
0,0,22,2,0.3494046,0.0,0.0,0.1747023,0.016666668,1.0,0.2
0,0,23,0,0.5555687,0.0,0.0,0.27778435,0.016666668,1.0,0.2
0,0,23,1,0.6418281,0.0,0.0,0.32091406,0.016666668,1.0,0.2
0,0,23,2,0.33464774,0.0,0.0,0.16732387,0.016666668,1.0,0.2
0,0,24,0,0.52587664,0.0,0.0,0.26293832,0.016666668,1.0,0.2
0,0,24,1,0.6708383,0.0,0.0,0.33541915,0.016666668,1.0,0.2
0,0,24,2,0.3434374,0.0,0.0,0.1717187,0.016666668,1.0,0.2
0,0,25,0,0.9416833,0.0,0.0,0.47084165,0.016666668,1.0,0.2
0,0,25,1,0.5832928,0.0,0.0,0.2916464,0.016666668,1.0,0.2
0,0,25,2,0.35151353,0.0,0.0,0.17575677,0.016666668,1.0,0.2
0,0,26,0,0.84582,0.0,0.0,0.42291,0.016666668,1.0,0.2
0,0,26,1,0.63180417,0.0,0.0,0.31590208,0.016666668,1.0,0.2
0,0,26,2,0.35603064,0.0,0.0,0.17801532,0.016666668,1.0,0.2
0,0,27,0,0.70322335,0.0,0.0,0.35161167,0.016666668,1.0,0.2
0,0,27,1,0.6445873,0.0,0.0,0.32229364,0.016666668,1.0,0.2
0,0,27,2,0.36054775,0.0,0.0,0.18027388,0.016666668,1.0,0.2
0,0,28,0,0.606494,0.0,0.0,0.303247,0.016666668,1.0,0.2
0,0,28,1,0.6502265,0.0,0.0,0.32511324,0.016666668,1.0,0.2
0,0,28,2,0.41077104,0.0,0.0,0.20538552,0.016666668,1.0,0.2
0,0,29,0,0.73910415,0.0,0.0,0.36955208,0.016666668,1.0,0.2
0,0,29,1,0.6535697,0.0,0.0,0.32678485,0.016666668,1.0,0.2
0,0,29,2,0.5067063,0.0,0.0,0.25335315,0.016666668,1.0,0.2
0,0,30,0,0.8717114,0.0,0.0,0.4358557,0.016666668,1.0,0.2
0,0,30,1,0.6454303,0.0,0.0,0.32271516,0.016666668,1.0,0.2
0,0,30,2,0.60263866,0.0,0.0,0.30131933,0.016666668,1.0,0.2
0,0,31,0,0.9322348,0.0,0.0,0.4661174,0.016666668,1.0,0.2
0,0,31,1,0.6372909,0.0,0.0,0.31864545,0.016666668,1.0,0.2
0,0,31,2,0.2830751,0.0,0.0,0.14153755,0.016666668,1.0,0.2
0,0,32,0,0.9206716,0.0,0.0,0.4603358,0.016666668,1.0,0.2
0,0,32,1,0.70255584,0.0,0.0,0.35127792,0.016666668,1.0,0.2
0,0,32,2,0.33088735,0.0,0.0,0.16544367,0.016666668,1.0,0.2
0,0,33,0,0.90911126,0.0,0.0,0.45455563,0.016666668,1.0,0.2
0,0,33,1,0.8412195,0.0,0.0,0.42060974,0.016666668,1.0,0.2
0,0,33,2,0.3758915,0.0,0.0,0.18794575,0.016666668,1.0,0.2
0,0,34,0,0.75279355,0.0,0.0,0.37639678,0.016666668,1.0,0.2
0,0,34,1,0.3996135,0.0,0.0,0.19980675,0.016666668,1.0,0.2
0,0,34,2,0.40299702,0.0,0.0,0.20149851,0.016666668,1.0,0.2
0,0,35,0,0.5675261,0.0,0.0,0.28376305,0.016666668,1.0,0.2
0,0,35,1,0.34453073,0.0,0.0,0.17226537,0.016666668,1.0,0.2
